surface,bathrooms,bedrooms,price
280,4,4,78000
300,3,2,65000
493,4,3,100000
400,5,4,94900
355,7,10,83000
200,2,3,98000
300,6,8,85000
200,1,4,50000
200,3,3,70000
300,3,6,84000
360,4,6,98000
248,3,3,72000
500,4,8,92500
340,6,5,75000
340,6,5,75000
400,1,3,65000
200,2,4,85000
360,5,7,85000
600,2,3,85000
214,3,4,94000
238,4,5,75000
220,3,4,89900
288,3,3,85000
200,3,5,88000
200,1,3,97000
300,3,6,84000
294,3,7,76000
535,3,4,72000
240,7,6,92000
200,2,3,45000
300,3,3,36000
200,1,3,82000
255,4,4,85000
200,2,2,100000
311,3,3,95000
358,1,2,39500
325,2,2,55000
320,2,3,85000
200,3,3,78000
224,2,3,60000
302,3,3,97000
311,3,3,95000
451,1,1,35000
275,3,3,100000
230,5,4,50000
205,1,3,38000
230,1,3,88000
450,2,3,83500
238,2,2,85000
630,2,2,79000
300,1,3,48000
300,4,5,60000
250,5,6,98000
220,1,2,62000
200,2,3,90000
312,2,2,45000
270,5,6,95000
200,3,3,77000
200,3,3,77000
330,2,3,75000
520,7,8,98000
262,3,3,100000
244,6,5,89000
200,3,4,95000
244,6,5,89000
450,2,3,85000
250,3,3,99900
358,1,2,39500
220,2,3,48000
200,3,3,78000
249,2,3,94000
205,3,3,94500
220,2,1,36000
500,3,4,85000
300,3,5,98000
210,1,2,73000
535,3,4,72000
200,2,2,45000
290,2,1,65000
520,2,4,72000
250,4,4,87000
200,1,3,32000
250,3,3,83000
250,3,3,83000
240,2,3,96000
250,2,5,51000
248,3,3,72000
250,5,5,73000
351,3,10,65000
228,3,3,95000
325,4,5,95000
223,6,4,95000
200,2,2,22500
220,4,3,93000
690,6,4,98000
227,2,3,95000
243,1,2,33000
200,4,3,92000
200,2,3,42000
280,2,3,93000
214,3,4,94000
234,4,6,79000
220,3,3,96000
300,1,2,45000
208,3,3,85000
200,4,4,98000
250,6,10,85000
322,3,2,95000
345,3,4,79500
234,1,3,79000
295,10,10,64000
300,5,10,59000
307,2,3,65000
200,7,6,90000
300,2,3,98000
204,4,6,66850
246,6,10,85500
220,1,2,62000
230,2,3,79000
280,2,3,75000
204,2,3,36000
240,1,2,50000
250,3,3,79900
200,3,3,92000
238,7,8,85000
466,2,3,96000
288,4,6,75000
250,3,3,50000
489,2,3,80000
700,4,6,75000
294,5,4,81000
375,2,3,47000
204,4,4,75000
200,5,3,68000
231,5,6,85000
242,4,5,80000
285,2,4,90000
320,2,3,85000
299,5,5,65000
200,3,2,80000
320,3,4,95000
400,2,2,99000
240,4,3,95000
235,2,3,78000
360,2,3,70000
200,1,2,80000
360,3,5,90000
728,1,4,25000
450,2,3,52000
200,3,3,70000
450,2,3,83500
250,6,5,80000
205,3,3,94500
325,2,4,28000
230,1,3,88000
